Name,Phone Number,Address,Skills,Email,Previous Work Experience,Projects,Education,Licenses and Certifications
Elizabeth Silva,365.952.2792,"0224 Tina Walk, Zunigahaven, NV 97140","Looker, Data Visualization, Excel, Business Intelligence, SQL",alison94@hotmail.com,BI Developer at InsightWorks; Business Analyst at QRS Inc; Machine Learning Intern at AI Labs; SQL Developer at DBMasters,Churn Prediction; E-commerce Dashboard; Real-time Data Pipeline,"B.Tech in Computer Science, 2020; B.Tech in Computer Science, 2021",Tableau Desktop Specialist; Google Data Analytics Certificate
Ashley Ward,765.147.6807x7504,"50832 Lawrence Center Apt. 755, Alimouth, NV 09371","Apache Airflow, Google Data Studio, SQL, Tableau, Matplotlib",smithjennifer@yahoo.com,Machine Learning Intern at AI Labs; Research Assistant at University of Data,Credit Risk Modeling; Social Media Sentiment Analysis,"B.Tech in Computer Science, 2018",AWS Certified Data Analytics – Specialty; SAS Certified Data Scientist
John Shaw,628.674.5853x33796,"89952 Reid Springs, Bryanfort, IL 03912","NumPy, SPSS, Matplotlib, Deep Learning, Data Cleaning",nwright@gmail.com,Junior Analyst at ABC Corp; SQL Developer at DBMasters; Machine Learning Intern at AI Labs,Real-time Data Pipeline; Marketing Campaign Analysis; Customer Segmentation,"MBA in Business Analytics, 2018; M.Sc. in Data Science, 2020",Certified Analytics Professional (CAP)
Manuel Murray,426.542.5096x7148,"8803 Lewis Crossing Apt. 484, Rebeccaburgh, FL 56818","Time Series Analysis, Statistics, BigQuery, Looker, ETL",valvarez@yahoo.com,Junior Analyst at ABC Corp; SQL Developer at DBMasters; Machine Learning Intern at AI Labs,Marketing Campaign Analysis; Social Media Sentiment Analysis,"B.Tech in Computer Science, 2021",AWS Certified Data Analytics – Specialty; SAS Certified Data Scientist
Jose Williams,+1-867-894-8516x71939,"67187 Stevenson Bridge Apt. 308, Debraberg, TX 85451","Data Wrangling, SPSS, Machine Learning, Spark, Flask",qelliott@yahoo.com,Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd; Data Visualization Specialist at DataViz Ltd; Junior Analyst at ABC Corp,E-commerce Dashboard; Marketing Campaign Analysis,"M.Tech in Data Analytics, 2019",SAS Certified Data Scientist; DataCamp Data Scientist; IBM Data Science Professional Certificate
Linda Foster,633.635.7516x6615,"2549 Ramirez Row Suite 482, New Michaelmouth, KS 09122","NoSQL, RapidMiner, Kibana, Data Modelling, Spark",garygarza@hotmail.com,Business Analyst at QRS Inc; Junior Analyst at ABC Corp; SQL Developer at DBMasters; Data Intern at XYZ Ltd,Credit Risk Modeling; Marketing Campaign Analysis,"B.Sc. in Mathematics, 2023; M.Sc. in Statistics, 2019",SAS Certified Data Scientist; AWS Certified Data Analytics – Specialty; Certified Analytics Professional (CAP)
Veronica Rivera,580.990.9865x93355,"621 Daniel Villages, West Amanda, MT 39831","Amazon QuickSight, Deep Learning, DataRobot, TensorFlow, Excel",danieltaylor@wong-bernard.com,SQL Developer at DBMasters; Business Analyst at QRS Inc,Sales Forecasting; Healthcare Data Analysis; Customer Segmentation,"MBA in Business Analytics, 2016",Cloudera Certified Associate (CCA) Data Analyst
April Myers,(566)294-1098,"237 Ricky Branch Suite 335, Lewisberg, NY 47346","Apache Airflow, Statistics, Jupyter, Excel, Data Mining",chadmitchell@herman.info,BI Developer at InsightWorks; Machine Learning Intern at AI Labs; ETL Developer at FlowTech; Research Assistant at University of Data,Sales Forecasting; Fraud Detection System,"M.Tech in Data Analytics, 2021",DataCamp Data Scientist; Certified Analytics Professional (CAP)
Pamela Wallace,+1-592-023-4059x84363,"784 David Squares Apt. 763, Lake Eric, NC 26925","Dash, SPSS, SQL, Tableau, R",aaron63@hotmail.com,SQL Developer at DBMasters; Data Intern at XYZ Ltd,Sales Forecasting; Churn Prediction; Credit Risk Modeling,"B.Tech in Information Technology, 2022; M.Sc. in Data Science, 2020",Cloudera Certified Associate (CCA) Data Analyst
Joshua Brown,374.675.1050,"772 Norman Rapids, North Tiffany, GA 09384","TensorFlow, ETL, R, Machine Learning, Dash",tyler62@yahoo.com,BI Developer at InsightWorks; Freelance Data Consultant; Junior Analyst at ABC Corp; Business Analyst at QRS Inc,Credit Risk Modeling; Real-time Data Pipeline; Marketing Campaign Analysis,"B.Tech in Information Technology, 2020; M.Tech in Data Analytics, 2017",IBM Data Science Professional Certificate; Udacity Data Analyst Nanodegree
Leslie Thomas,001-600-006-6783,"05120 Sherman Pass, Stevenstad, OK 32402","Qlik, Google Analytics, MATLAB, RapidMiner, NoSQL",marcia71@bell-campbell.org,Machine Learning Intern at AI Labs; Business Analyst at QRS Inc,Credit Risk Modeling; Fraud Detection System; Marketing Campaign Analysis,"B.Sc. in Statistics, 2020",Cloudera Certified Associate (CCA) Data Analyst; Udacity Data Analyst Nanodegree; IBM Data Science Professional Certificate
Jesse Coleman,(525)422-3752x4726,"84752 Brown Manors, North Kyleport, NE 06372","SQL, SAS, Kibana, Dash, Excel",kimberly81@mathis.org,Machine Learning Intern at AI Labs; BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd; ETL Developer at FlowTech,Churn Prediction; Customer Segmentation; Healthcare Data Analysis,"M.Sc. in Data Science, 2021; B.Tech in Computer Science, 2022",Udacity Data Analyst Nanodegree
Richard Santiago,(856)119-9154x651,"71768 Hamilton Trace, North Chad, MT 90320","Data Visualization, NLP, Data Cleaning, Python, Seaborn",gailbrowning@alvarez.com,SQL Developer at DBMasters; Junior Analyst at ABC Corp; Freelance Data Consultant,Healthcare Data Analysis; Credit Risk Modeling,"B.Tech in Computer Science, 2018",Tableau Desktop Specialist; DataCamp Data Scientist
Diane Miller,(804)405-4900x96185,"PSC 1714, Box 5567, APO AE 05554","SPSS, ETL, Spark, Kibana, Exploratory Data Analysis",chrissmith@hotmail.com,Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd; Freelance Data Consultant; ETL Developer at FlowTech,Credit Risk Modeling; Social Media Sentiment Analysis; Fraud Detection System,"B.Sc. in Mathematics, 2022; M.Sc. in Data Science, 2019",DataCamp Data Scientist; Google Data Analytics Certificate; Udacity Data Analyst Nanodegree
Samantha Trujillo,589.523.9004x477,"3087 Anthony Bypass, Russellside, RI 06731","SAS, Dash, Flask, Seaborn, Python",jasonguzman@yahoo.com,Freelance Data Consultant; Data Intern at XYZ Ltd; SQL Developer at DBMasters; Machine Learning Intern at AI Labs,Real-time Data Pipeline; Sales Forecasting; E-commerce Dashboard,"B.Tech in Computer Science, 2016; M.Tech in Data Analytics, 2015",Microsoft Certified: Data Analyst Associate; SAS Certified Data Scientist
Tyler Mendoza,500.339.7333x5648,"62814 Alvarez Circle Apt. 803, Meyersfurt, NY 22252","Dash, Looker, SPSS, AWS Redshift, Google Analytics",michael52@bowen.info,Business Analyst at QRS Inc; Data Visualization Specialist at DataViz Ltd; Research Assistant at University of Data; Freelance Data Consultant,Customer Segmentation; Real-time Data Pipeline,"B.Sc. in Computer Science, 2021",Tableau Desktop Specialist
Darryl Riley,828-167-8222x225,"629 Mcgee Centers Suite 820, Lake Becky, MI 59764","Data Governance, SPSS, TensorFlow, Tableau, Kibana",dwilcox@atkins.biz,Machine Learning Intern at AI Labs; SQL Developer at DBMasters; ETL Developer at FlowTech; Data Intern at XYZ Ltd,Real-time Data Pipeline; Social Media Sentiment Analysis; E-commerce Dashboard,"B.Tech in Computer Science, 2015; M.Tech in Data Analytics, 2016",Cloudera Certified Associate (CCA) Data Analyst; Certified Analytics Professional (CAP); Microsoft Certified: Data Analyst Associate
Kirk Edwards,001-442-535-3592x547,"709 Jones Hollow, Port Jennifer, AZ 76627","Google Sheets, Google Data Studio, Snowflake, Business Intelligence, Data Cleaning",amandagreene@thomas-johnson.com,Research Assistant at University of Data; ETL Developer at FlowTech; Machine Learning Intern at AI Labs,Fraud Detection System; Sales Forecasting; E-commerce Dashboard,"M.Sc. in Data Science, 2022",IBM Data Science Professional Certificate
Chad Smith,1421491645,"702 Park Isle Apt. 814, Lambertstad, TN 52854","Qlik, Data Cleaning, D3.js, Deep Learning, DataRobot",courtneycrawford@carrillo.com,Research Assistant at University of Data; Data Intern at XYZ Ltd; BI Developer at InsightWorks; Machine Learning Intern at AI Labs,Churn Prediction; Sales Forecasting; Marketing Campaign Analysis,"B.Tech in Computer Science, 2019; B.Sc. in Mathematics, 2019",AWS Certified Data Analytics – Specialty; Microsoft Certified: Data Analyst Associate
Robin Sanders,(093)027-6964x938,"0123 Robert Rue Apt. 224, Browntown, WI 37849","Seaborn, Statistics, SPSS, SQL, A/B Testing",gomezpam@hotmail.com,ETL Developer at FlowTech; Data Visualization Specialist at DataViz Ltd; Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd,Fraud Detection System; Healthcare Data Analysis,"M.Tech in Data Analytics, 2017; B.Tech in Computer Science, 2017",SAS Certified Data Scientist; Google Data Analytics Certificate
Stephen Johnson,+1-876-227-8220x657,"0291 Leach Hill Suite 299, Meltonville, KY 53725","Data Mining, D3.js, Data Governance, Matplotlib, NumPy",acruz@gmail.com,Freelance Data Consultant; Research Assistant at University of Data; Data Intern at XYZ Ltd; Junior Analyst at ABC Corp,Healthcare Data Analysis; Customer Segmentation; Marketing Campaign Analysis,"M.Sc. in Data Science, 2018",Udacity Data Analyst Nanodegree
Michelle Walton,9249725997,"PSC 7006, Box 1998, APO AE 09014","R, BigQuery, NumPy, TensorFlow, Deep Learning",bonniesandoval@hotmail.com,Business Analyst at QRS Inc; Research Assistant at University of Data; ETL Developer at FlowTech,Healthcare Data Analysis; Customer Segmentation,"B.Sc. in Computer Science, 2021",DataCamp Data Scientist; SAS Certified Data Scientist
Rebecca Meyer,+1-895-070-9457x7880,"68191 Johnson Orchard, Rachelshire, ND 35833","Power BI, Seaborn, Hadoop, Data Wrangling, DataRobot",rhernandez@carter-delgado.com,Research Assistant at University of Data; SQL Developer at DBMasters; BI Developer at InsightWorks,Customer Segmentation; Social Media Sentiment Analysis; E-commerce Dashboard,"B.Sc. in Statistics, 2023; B.Sc. in Mathematics, 2018",SAS Certified Data Scientist; Tableau Desktop Specialist
Andrew Jones DDS,001-693-002-4460x6730,"987 Hanson Loop Suite 781, East Cory, ND 65578","Looker, Time Series Analysis, AWS Redshift, Data Cleaning, ETL",robert91@garcia.org,Data Intern at XYZ Ltd; Junior Analyst at ABC Corp; Freelance Data Consultant,Credit Risk Modeling; E-commerce Dashboard; Fraud Detection System,"M.Sc. in Data Science, 2016",Tableau Desktop Specialist; Certified Analytics Professional (CAP)
Erik Bentley,001-336-711-8028x688,"96402 Stacey Mountains Apt. 118, North Darrell, DC 51620","Data Mining, Dash, Business Intelligence, AWS Redshift, Time Series Analysis",olsondarin@gmail.com,Research Assistant at University of Data; Freelance Data Consultant,Credit Risk Modeling; E-commerce Dashboard,"B.Sc. in Mathematics, 2021",IBM Data Science Professional Certificate; DataCamp Data Scientist; Certified Analytics Professional (CAP)
Sue Gray,367-427-1391,"1777 Arias Isle Apt. 703, Churchport, AL 43230","Flask, Seaborn, Kibana, Data Wrangling, SAS",tinaperez@gmail.com,BI Developer at InsightWorks; ETL Developer at FlowTech; Data Intern at XYZ Ltd,Customer Segmentation; Healthcare Data Analysis,"B.Sc. in Statistics, 2016",Certified Analytics Professional (CAP)
Kimberly Vega,8672384997,"43265 Patton Wells, Carlosland, MO 78352","SQL, Spark, Amazon QuickSight, NoSQL, Statistics",hjohnson@perkins.com,Junior Analyst at ABC Corp; Data Intern at XYZ Ltd; Machine Learning Intern at AI Labs,Churn Prediction; Real-time Data Pipeline,"B.Sc. in Statistics, 2020; M.Sc. in Statistics, 2016",DataCamp Data Scientist; Udacity Data Analyst Nanodegree; Tableau Desktop Specialist
Brooke Bowman,788.458.2900x6351,"6830 Salazar Center, West Angelabury, GA 15116","Jupyter, Looker, Spark, Time Series Analysis, Snowflake",sethhogan@gmail.com,Junior Analyst at ABC Corp; SQL Developer at DBMasters; BI Developer at InsightWorks; ETL Developer at FlowTech,Healthcare Data Analysis; Fraud Detection System; Customer Segmentation,"B.Sc. in Statistics, 2020; MBA in Business Analytics, 2015",Google Data Analytics Certificate; Cloudera Certified Associate (CCA) Data Analyst; Certified Analytics Professional (CAP)
Brenda Bell,001-187-503-8139x524,"2261 Riley Fall, Priceton, OR 26996","Data Governance, SQL, R, Jupyter, Data Mining",jeffreyjames@yahoo.com,SQL Developer at DBMasters; BI Developer at InsightWorks; ETL Developer at FlowTech; Freelance Data Consultant,Healthcare Data Analysis; Credit Risk Modeling; Churn Prediction,"B.Tech in Computer Science, 2023; B.Sc. in Mathematics, 2015",IBM Data Science Professional Certificate
Austin Goodman,(328)986-3536x53488,"135 Shawn Haven Apt. 036, Samuelmouth, TN 58495","Exploratory Data Analysis, Business Intelligence, Data Mining, Data Cleaning, R",kristinhumphrey@bradford-maxwell.biz,Junior Analyst at ABC Corp; Business Analyst at QRS Inc,E-commerce Dashboard; Churn Prediction; Credit Risk Modeling,"M.Tech in Data Analytics, 2019",AWS Certified Data Analytics – Specialty
Andrew Jimenez,745.865.1716x54844,"Unit 7596 Box 3942, DPO AP 61991","ETL, AWS Redshift, Apache Airflow, Data Mining, Hadoop",jessicahill@hotmail.com,Data Visualization Specialist at DataViz Ltd; Data Intern at XYZ Ltd; Machine Learning Intern at AI Labs,Churn Prediction; Marketing Campaign Analysis,"M.Sc. in Data Science, 2019",Cloudera Certified Associate (CCA) Data Analyst; Microsoft Certified: Data Analyst Associate; DataCamp Data Scientist
Nancy Watkins,001-055-841-3687x15670,"4938 Dougherty Grove, Gibsonchester, MS 27943","AWS Redshift, Data Visualization, MATLAB, Jupyter, Power BI",kayla19@hotmail.com,Freelance Data Consultant; Business Analyst at QRS Inc; ETL Developer at FlowTech; Data Intern at XYZ Ltd,E-commerce Dashboard; Real-time Data Pipeline,"M.Tech in Data Analytics, 2019",Tableau Desktop Specialist
Justin Newman,(393)617-6718x101,"783 Trevor Plaza, West Thomas, RI 27452","Data Mining, Tableau, Google Data Studio, ETL, Amazon QuickSight",ealvarado@price.net,Junior Analyst at ABC Corp; Business Analyst at QRS Inc; BI Developer at InsightWorks,Fraud Detection System; Social Media Sentiment Analysis; Real-time Data Pipeline,"B.Tech in Computer Science, 2015",Certified Analytics Professional (CAP); DataCamp Data Scientist
Julia Howard,020-172-8133x4097,"480 Jeff Estates, North Michael, AL 19767","NLP, Kibana, Snowflake, DataRobot, SPSS",ericsmith@stewart.com,Freelance Data Consultant; Research Assistant at University of Data; Junior Analyst at ABC Corp; BI Developer at InsightWorks,Fraud Detection System; Marketing Campaign Analysis; E-commerce Dashboard,"B.Tech in Computer Science, 2016; M.Sc. in Statistics, 2021",Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP); Udacity Data Analyst Nanodegree
Jennifer Parsons,217.749.5844,"29400 Diana Track, Teresatown, TN 58446","Power BI, ETL, SQL, Seaborn, Kibana",walterdaniel@copeland.com,Data Visualization Specialist at DataViz Ltd; BI Developer at InsightWorks,Customer Segmentation; E-commerce Dashboard,"B.Sc. in Statistics, 2016",IBM Data Science Professional Certificate
Michele Young,559-584-5188x9069,"788 Palmer Oval, Port Elizabethstad, MI 17219","NumPy, ETL, Python, SAS, MATLAB",valeriereed@gmail.com,Junior Analyst at ABC Corp; SQL Developer at DBMasters; Machine Learning Intern at AI Labs; ETL Developer at FlowTech,Healthcare Data Analysis; E-commerce Dashboard,"B.Sc. in Computer Science, 2018",SAS Certified Data Scientist; IBM Data Science Professional Certificate
Michael Banks,140.821.0314x89694,"926 Johnson Cove, Lake Connieton, TN 60471","Data Cleaning, NLP, Google Analytics, Qlik, Tableau",iwilliams@stafford-juarez.info,SQL Developer at DBMasters; Data Visualization Specialist at DataViz Ltd; Freelance Data Consultant,Marketing Campaign Analysis; Real-time Data Pipeline,"M.Sc. in Data Science, 2015; B.Tech in Information Technology, 2022",Certified Analytics Professional (CAP)
Becky Harrison,4716795214,"Unit 2807 Box 8411, DPO AP 75285","Power BI, Kibana, Keras, Excel, Time Series Analysis",pameladavis@gmail.com,BI Developer at InsightWorks; Research Assistant at University of Data; Business Analyst at QRS Inc,Fraud Detection System; Credit Risk Modeling,"MBA in Business Analytics, 2019; B.Tech in Information Technology, 2016",SAS Certified Data Scientist; Certified Analytics Professional (CAP); Udacity Data Analyst Nanodegree
Tiffany Porter,(892)947-7241x084,"67013 Davis Junctions, Mercershire, AK 13010","SQL, R, Dash, Data Wrangling, ETL",cindy82@barron.info,ETL Developer at FlowTech; SQL Developer at DBMasters; Business Analyst at QRS Inc,E-commerce Dashboard; Churn Prediction; Social Media Sentiment Analysis,"M.Tech in Data Analytics, 2018",Udacity Data Analyst Nanodegree
Kathryn Lewis,001-959-740-3655,"6064 Kim Burg, West Kimberlyville, NV 42109","Data Visualization, Keras, MATLAB, Google Sheets, Exploratory Data Analysis",mitchellregina@gmail.com,SQL Developer at DBMasters; Data Visualization Specialist at DataViz Ltd; Business Analyst at QRS Inc; BI Developer at InsightWorks,Healthcare Data Analysis; Fraud Detection System,"MBA in Business Analytics, 2020; M.Sc. in Statistics, 2018",SAS Certified Data Scientist
Martha Villarreal,+1-328-219-8852x9513,"17179 Flores Flat Suite 153, Tammyhaven, VA 89387","SPSS, NLP, Excel, Google Analytics, Amazon QuickSight",michael66@hotmail.com,SQL Developer at DBMasters; Data Visualization Specialist at DataViz Ltd; Junior Analyst at ABC Corp,Real-time Data Pipeline; Credit Risk Modeling,"B.Sc. in Statistics, 2015",DataCamp Data Scientist
Rebecca Ellis,2110097787,"675 Schwartz Inlet, New Graceshire, MI 88565","SPSS, Data Cleaning, Qlik, Matplotlib, Spark",xfleming@gmail.com,Data Intern at XYZ Ltd; Business Analyst at QRS Inc,Credit Risk Modeling; Fraud Detection System,"B.Sc. in Statistics, 2015",Tableau Desktop Specialist; Cloudera Certified Associate (CCA) Data Analyst; AWS Certified Data Analytics – Specialty
Justin Jones,001-305-911-7854x99332,"336 Katherine Coves Suite 163, Robertsfort, NM 55020","Spark, D3.js, Looker, NumPy, RapidMiner",srobinson@andrade.com,ETL Developer at FlowTech; Junior Analyst at ABC Corp; Data Visualization Specialist at DataViz Ltd,E-commerce Dashboard; Credit Risk Modeling,"B.Sc. in Statistics, 2021",Tableau Desktop Specialist; Microsoft Certified: Data Analyst Associate; DataCamp Data Scientist
Lauren Armstrong,251.220.4142,"28189 Megan Light Suite 773, North Angelafurt, IL 42494","Deep Learning, Pandas, R, Time Series Analysis, Keras",zdominguez@hotmail.com,ETL Developer at FlowTech; Business Analyst at QRS Inc; Freelance Data Consultant,Healthcare Data Analysis; Credit Risk Modeling,"B.Sc. in Statistics, 2016; MBA in Business Analytics, 2019",Tableau Desktop Specialist; DataCamp Data Scientist; Cloudera Certified Associate (CCA) Data Analyst
Joseph Cole,510.717.3190,"345 Colin Gateway Apt. 453, Richardbury, NY 19136","Data Modelling, Jupyter, Google Data Studio, Machine Learning, Data Mining",michaelvega@miller-white.info,Research Assistant at University of Data; BI Developer at InsightWorks,Credit Risk Modeling; Marketing Campaign Analysis; E-commerce Dashboard,"B.Tech in Computer Science, 2023",IBM Data Science Professional Certificate
William Brooks,(194)101-6372x7060,"425 Joshua Flats, Matthewfurt, MN 83145","BigQuery, ETL, Google Analytics, SQL, Spark",samantha20@jimenez-ayers.com,Data Visualization Specialist at DataViz Ltd; Freelance Data Consultant,Real-time Data Pipeline; Credit Risk Modeling; Fraud Detection System,"B.Tech in Computer Science, 2022",Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP); AWS Certified Data Analytics – Specialty
Mary Mills,+1-351-303-3326,"7997 Soto Unions Suite 645, Port Roberthaven, AL 23317","Exploratory Data Analysis, D3.js, Python, SQL, Data Cleaning",michelle05@gmail.com,Research Assistant at University of Data; BI Developer at InsightWorks,Customer Segmentation; Churn Prediction; Real-time Data Pipeline,"B.Sc. in Computer Science, 2017; B.Tech in Information Technology, 2023",Certified Analytics Professional (CAP); Microsoft Certified: Data Analyst Associate
Robert Parks,728-214-2736x0545,"97944 Gregory Lake, Mariafurt, NC 39284","Deep Learning, TensorFlow, Hadoop, Seaborn, Tableau",elainewheeler@gmail.com,SQL Developer at DBMasters; BI Developer at InsightWorks; ETL Developer at FlowTech; Freelance Data Consultant,Sales Forecasting; Real-time Data Pipeline,"B.Tech in Information Technology, 2021",AWS Certified Data Analytics – Specialty; Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP)
Trevor Rogers,+1-389-779-4087,"78719 Clark Parkways, East Alan, RI 64513","BigQuery, MATLAB, Apache Airflow, Flask, Hadoop",michael33@stewart.com,Machine Learning Intern at AI Labs; Business Analyst at QRS Inc,Credit Risk Modeling; E-commerce Dashboard,"M.Sc. in Data Science, 2023; M.Sc. in Statistics, 2020",Cloudera Certified Associate (CCA) Data Analyst; Google Data Analytics Certificate
Timothy Jimenez,001-782-588-1230x854,"42095 Graham Pines, Danamouth, WV 30466","Time Series Analysis, SPSS, R, Seaborn, Python",moyermichael@sawyer.biz,Research Assistant at University of Data; SQL Developer at DBMasters; Freelance Data Consultant; Data Intern at XYZ Ltd,Fraud Detection System; Real-time Data Pipeline; E-commerce Dashboard,"B.Tech in Information Technology, 2016; B.Sc. in Computer Science, 2021",Udacity Data Analyst Nanodegree; IBM Data Science Professional Certificate
Rachael Holder,041.168.8581x1103,"74204 Gates Pine, East Elizabeth, ID 37344","Tableau, Data Visualization, Statistics, SPSS, Matplotlib",hannah79@herman.com,Research Assistant at University of Data; ETL Developer at FlowTech,Real-time Data Pipeline; Sales Forecasting,"M.Sc. in Statistics, 2023",Microsoft Certified: Data Analyst Associate; Tableau Desktop Specialist; Udacity Data Analyst Nanodegree
Matthew Patrick,(963)577-8126x7414,"Unit 8619 Box 3514, DPO AA 47046","Google Sheets, AWS Redshift, Data Wrangling, BigQuery, Statistics",stephenwarren@richardson.com,Junior Analyst at ABC Corp; Machine Learning Intern at AI Labs; Data Visualization Specialist at DataViz Ltd; ETL Developer at FlowTech,Customer Segmentation; Real-time Data Pipeline,"B.Tech in Information Technology, 2020; M.Sc. in Data Science, 2022",AWS Certified Data Analytics – Specialty
Susan Boyd,001-336-582-9130x38915,"062 Jessica Village, Fowlershire, CO 01012","NumPy, NLP, Business Intelligence, Kibana, Flask",james31@fox-ewing.com,Research Assistant at University of Data; BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd,Churn Prediction; Credit Risk Modeling,"B.Tech in Computer Science, 2022; M.Sc. in Data Science, 2022",SAS Certified Data Scientist
David Torres,(580)817-6632x87764,"313 Lee Streets, Jenniferhaven, DC 17713","Matplotlib, Data Visualization, NumPy, TensorFlow, Data Governance",gerald36@nichols.org,ETL Developer at FlowTech; Research Assistant at University of Data,Churn Prediction; Credit Risk Modeling,"B.Tech in Computer Science, 2017; M.Sc. in Statistics, 2023",DataCamp Data Scientist; SAS Certified Data Scientist
Monica Cortez,230.478.4303,"8558 Anthony Avenue, Mitchellview, MD 70921","Jupyter, Amazon QuickSight, Power BI, Flask, NoSQL",robertaustin@gmail.com,Data Intern at XYZ Ltd; BI Developer at InsightWorks; Junior Analyst at ABC Corp,Fraud Detection System; Marketing Campaign Analysis; Churn Prediction,"B.Tech in Information Technology, 2020; B.Tech in Computer Science, 2019",DataCamp Data Scientist
